Perfect. They do exactly what I need them to do. I will keep them for a long time,positive
Excellent product and a much better quality than the one you get at Walmart for $50,positive
A little pricey for what it is,negative
"sheds all over, would not buy it ever again",negative
"service was great, can't wait to try it out!Very good quality",positive
bottom will not stay on. zero customer service  do not buy,negative
Does not do a very good job,negative
difficult to use,negative
I am happy with my purchase,positive
so poor on quality,negative
it was broken and the glass is  cracked bad,negative
Only negative is the shape of the container,negative
Worst product ever,negative
Works very well,positive
Perfect! this bag is well made,positive
"heaply made, poor quality",negative
"Item as advertised, fast shipping",positive
arrived on time,positive
This is a must have for anyone,positive
Awesome bag,positive
The mask was a very poor fit,negative
I've really enjoyed using this,positive
"Unfortunately, there were no batteries",negative
These are adorable!,positive
Seems great,positive
Much faster than the other brands,positive
Good product was worth the money,positive
Quality is not good,negative
I am really impressed with the sound quality of these,positive
Well worth the money,positive
Great feedback and smooth function,positive
